feature,count
00,32132.0
000,4282.0
000th,12.0
001,19.0
007,99.0
00a,31.0
00am,1159.0
00ish,29.0
00p,88.0
00pm,2412.0
00s,28.0
01,577.0
01am,20.0
01pm,33.0
02,535.0
02pm,27.0
03,435.0
03pm,18.0
04,450.0
05,975.0
05am,44.0
05pm,97.0
06,540.0
0600,18.0
0630,11.0
07,762.0
0700,14.0
0730,10.0
07pm,14.0
08,961.0
0800,19.0
0830,10.0
08pm,12.0
09,1099.0
0900,19.0
0930,11.0
0_0,11.0
0_o,21.0
0d,13.0
0z,12.0
10,115867.0
100,23655.0
1000,2219.0
10000,62.0
100000,20.0
1000s,39.0
1000th,16.0
1000x,82.0
1001,10.0
100f,24.0
100ft,15.0
100g,38.0
100ish,12.0
100k,91.0
100lb,16.0
100lbs,26.0
100m,17.0
100oz,33.0
100s,137.0
100th,254.0
100x,228.0
101,1995.0
1010,14.0
1015,21.0
1015pm,11.0
102,213.0
1020,15.0
103,238.0
1030,242.0
1030a,12.0
1030am,48.0
1030p,11.0
1030pm,55.0
104,245.0
1040,14.0
1045,31.0
105,647.0
1050,24.0
106,238.0
106th,11.0
107,367.0
1070,17.0
107th,38.0
108,336.0
1080,10.0
108th,26.0
109,320.0
109th,14.0
10a,97.0
10am,2098.0
10bucks,15.0
10cents,10.0
10ft,35.0
10in,10.0
10ish,127.0
10k,224.0
10lb,20.0
10lbs,52.0
10m,17.0
10min,455.0
10mins,297.0
10minute,11.0
10minutes,92.0
10oz,324.0
10p,204.0
10pc,17.0
10pm,4034.0
10pp,10.0
10s,58.0
10th,998.0
10x,523.0
10x10,26.0
10years,16.0
10yr,23.0
10yrs,53.0
11,24263.0
110,1648.0
1100,228.0
110f,12.0
111,109.0
1115,14.0
112,267.0
1120,12.0
113,133.0
1130,263.0
1130am,58.0
1130p,10.0
1130pm,41.0
114,142.0
1145,22.0
1145am,13.0
115,691.0
1150,24.0
116,116.0
116th,10.0
117,123.0
118,135.0
119,161.0
11a,162.0
11am,2893.0
11h,18.0
11ish,95.0
11k,11.0
11oz,21.0
11p,103.0
11pm,2717.0
11s,21.0
11th,487.0
12,33677.0
120,2068.0
1200,496.0
12000,10.0
121,44.0
1215,17.0
122,65.0
123,81.0
1230,122.0
1230am,26.0
1230pm,23.0
124,61.0
1245,17.0
125,974.0
1250,31.0
126,58.0
127,57.0
128,90.0
129,173.0
12a,33.0
12am,658.0
12hrs,11.0
12in,15.0
12ish,52.0
12k,28.0
12noon,44.0
12oz,470.0
12p,51.0
12pm,658.0
12th,452.0
12yr,15.0
12yrs,14.0
13,11793.0
130,1005.0
1300,193.0
130am,29.0
130pm,40.0
131,214.0
132,58.0
133,33.0
134,56.0
135,329.0
1350,15.0
136,39.0
137,40.0
138,40.0
139,127.0
13ish,12.0
13oz,13.0
13pm,15.0
13th,335.0
14,13846.0
140,811.0
1400,166.0
141,22.0
142,32.0
143,57.0
144,79.0
145,235.0
1450,10.0
146,25.0
147,38.0
148,67.0
149,171.0
14ish,16.0
14k,39.0
14oz,123.0
14th,351.0
15,58877.0
150,4081.0
1500,573.0
150k,21.0
151,226.0
1511,160.0
152,29.0
153,22.0
154,28.0
155,148.0
1554,12.0
156,42.0
157,47.0
158,53.0
159,128.0
15am,318.0
15h,12.0
15ish,77.0
15k,51.0
15lbs,24.0
15m,12.0
15min,516.0
15mins,304.0
15minutes,100.0
15ml,23.0
15p,56.0
15pm,806.0
15pp,13.0
15s,15.0
15th,632.0
15yrs,19.0
16,11097.0
160,747.0
1600,136.0
161,19.0
162,48.0
163,19.0
164,29.0
165,195.0
1650,11.0
166,33.0
1664,35.0
167,38.0
168,206.0
169,113.0
16ish,10.0
16oz,545.0
16th,1024.0
17,7034.0
170,413.0
1700,104.0
1700s,12.0
171,29.0
172,34.0
173,18.0
174,70.0
175,433.0
176,26.0
1762,99.0
177,34.0
178,28.0
179,85.0
17h,22.0
17k,13.0
17th,424.0
18,11901.0
180,1043.0
1800,320.0
1800s,56.0
181,28.0
182,33.0
183,12.0
1830,14.0
184,16.0
1842,109.0
185,143.0
1850,12.0
1855,14.0
186,25.0
187,38.0
1870,20.0
188,44.0
1880,15.0
1886,10.0
1889,15.0
189,86.0
1890,15.0
1893,10.0
18b,21.0
18h,21.0
18inch,10.0
18k,31.0
18oz,137.0
18pm,11.0
18th,589.0
18yr,14.0
19,5177.0
190,477.0
1900,232.0
1900s,45.0
1905,13.0
1906,28.0
191,17.0
1910,20.0
1911,56.0
1912,24.0
1913,16.0
1914,11.0
1919,25.0
192,16.0
1920,158.0
1920s,101.0
1923,18.0
1926,13.0
1927,19.0
