,feature,count
2,000th,12.0
3,001,19.0
17,03pm,18.0
23,0600,18.0
24,0630,11.0
26,0700,14.0
27,0730,10.0
28,07pm,14.0
30,0800,19.0
31,0830,10.0
32,08pm,12.0
34,0900,19.0
35,0930,11.0
36,0_0,11.0
38,0d,13.0
39,0z,12.0
46,1000th,16.0
48,1001,10.0
50,100ft,15.0
52,100ish,12.0
54,100lb,16.0
56,100m,17.0
62,1010,14.0
64,1015pm,11.0
66,1020,15.0
69,1030a,12.0
71,1030p,11.0
74,1040,14.0
79,106th,11.0
81,1070,17.0
84,1080,10.0
87,109th,14.0
90,10bucks,15.0
91,10cents,10.0
93,10in,10.0
98,10m,17.0
101,10minute,11.0
105,10pc,17.0
107,10pp,10.0
112,10years,16.0
118,110f,12.0
120,1115,14.0
122,1120,12.0
126,1130p,10.0
130,1145am,13.0
134,116th,10.0
140,11h,18.0
142,11k,11.0
151,12000,10.0
153,1215,17.0
160,1245,17.0
169,12hrs,11.0
170,12in,15.0
178,12yr,15.0
179,12yrs,14.0
190,1350,15.0
195,13ish,12.0
196,13oz,13.0
197,13pm,15.0
207,1450,10.0
212,14ish,16.0
226,1554,12.0
232,15h,12.0
236,15m,12.0
243,15pp,13.0
244,15s,15.0
246,15yrs,19.0
250,161,19.0
252,163,19.0
255,1650,11.0
261,16ish,10.0
267,1700s,12.0
270,173,18.0
279,17k,13.0
287,183,12.0
288,1830,14.0
289,184,16.0
292,1850,12.0
293,1855,14.0
298,1880,15.0
299,1886,10.0
300,1889,15.0
302,1890,15.0
303,1893,10.0
306,18inch,10.0
309,18pm,11.0
311,18yr,14.0
316,1905,13.0
318,191,17.0
322,1913,16.0
323,1914,11.0
325,192,16.0
328,1923,18.0
329,1926,13.0
330,1927,19.0
333,193,16.0
336,1931,11.0
337,1932,15.0
338,1933,15.0
339,1934,11.0
341,1937,12.0
347,1941,15.0
349,1944,15.0
351,1946,12.0
355,1949,17.0
359,1951,19.0
360,1952,19.0
361,1954,19.0
367,196,19.0
370,1961,15.0
379,197,15.0
415,19h,18.0
416,19pm,11.0
422,1c,12.0
423,1cent,14.0
424,1cm,12.0
426,1er,19.0
427,1ft,11.0
428,1g,10.0
436,1lbs,18.0
437,1m,13.0
438,1mb,18.0
439,1min,19.0
440,1minute,11.0
441,1o,14.0
445,1person,12.0
451,1year,10.0
456,20000,12.0
468,200lbs,17.0
469,200s,17.0
480,2020,18.0
489,20bucks,15.0
490,20c,14.0
495,20lb,16.0
497,20m,18.0
501,20mn,10.0
505,20pp,15.0
508,20somethings,16.0
511,20yr,11.0
518,213,19.0
526,21oz,15.0
527,21s,13.0
532,221,14.0
537,226,17.0
538,227,18.0
542,22lr,14.0
545,22pm,14.0
552,232,12.0
553,233,17.0
557,237,12.0
558,238,16.0
559,239,19.0
560,23oz,17.0
561,23pm,15.0
567,242,17.0
568,243,15.0
569,244,17.0
572,248,14.0
581,24pm,11.0
587,250lbs,11.0
588,250ml,19.0
589,251,12.0
590,252,18.0
591,253,13.0
592,254,15.0
594,256,18.0
595,257,10.0
596,258,13.0
601,25cents,16.0
604,25lb,14.0
605,25lbs,13.0
608,25minutes,19.0
610,25p,14.0
612,25pp,15.0
614,25yrs,13.0
618,262,17.0
619,263,10.0
620,264,15.0
622,266,15.0
623,267,12.0
624,268,12.0
626,26oz,15.0
631,271,14.0
632,272,15.0
633,273,11.0
637,278,12.0
643,281,17.0
645,286,12.0
647,288,12.0
651,28pm,14.0
656,2900,17.0
658,296,12.0
659,298,19.0
661,29er,13.0
666,2ba,17.0
667,2bath,12.0
668,2bd,16.0
670,2c,14.0
674,2fer,12.0
677,2g,14.0
678,2go,13.0
680,2hour,11.0
690,2miles,10.0
692,2mins,19.0
693,2minutes,14.0
694,2mm,10.0
702,2ppl,14.0
708,2wice,12.0
709,2wks,11.0
711,2x1,11.0
714,2x4s,10.0
715,2xl,11.0
716,2xs,14.0
717,2year,13.0
718,2years,19.0
719,2yo,14.0
725,300k,10.0
727,300lbs,13.0
728,300ml,12.0
733,304,18.0
735,306,14.0
736,307,10.0
742,30lb,10.0
743,30lbs,18.0
748,30ml,15.0
749,30mph,10.0
754,30something,14.0
758,3100,10.0
762,313,12.0
764,316,18.0
769,321,18.0
770,324,12.0
772,327,12.0
773,328,18.0
774,328i,13.0
775,329,12.0
778,32pm,16.0
782,330am,19.0
784,331,12.0
785,332,11.0
786,333,18.0
787,334,11.0
789,336,12.0
790,338,14.0
791,33oz,14.0
792,33pm,10.0
796,3400,17.0
797,344,12.0
800,348,14.0
802,34oz,16.0
807,350lbs,19.0
808,350z,13.0
809,354,16.0
812,3570,18.0
813,359,13.0
815,35ish,17.0
816,35k,12.0
817,35lbs,15.0
821,35mph,12.0
830,369,11.0
831,36oz,18.0
832,36pm,10.0
837,375ml,10.0
840,37pm,14.0
844,3800,18.0
846,386,15.0
847,38pm,14.0
852,396,10.0
857,3b,15.0
858,3bucks,10.0
859,3c,14.0
861,3day,12.0
863,3e,16.0
873,3l,16.0
